epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
80,392.479,0.97697,0.6895,1.16889,0.75817,0.7769,0.82367,0.53809,1.34053,1.07781,1.44749,0.00060895,0.00060895,0.00060895
81,397.379,0.95495,0.70114,1.17293,0.81482,0.73179,0.80982,0.51122,1.31474,1.09231,1.49178,0.000604,0.000604,0.000604
82,402.212,0.9151,0.69164,1.14974,0.78078,0.74213,0.79593,0.49446,1.40199,1.05425,1.59628,0.00059905,0.00059905,0.00059905
83,407.15,0.93054,0.66121,1.15245,0.85333,0.7545,0.82783,0.50327,1.44049,1.00155,1.6327,0.0005941,0.0005941,0.0005941
84,412.279,0.93016,0.66887,1.14616,0.86334,0.82559,0.86076,0.53064,1.41214,0.95764,1.52311,0.00058915,0.00058915,0.00058915
85,417.224,0.88599,0.6345,1.12353,0.82414,0.82506,0.87911,0.53919,1.345,0.88402,1.45484,0.0005842,0.0005842,0.0005842
86,422.139,0.92938,0.66761,1.14178,0.82538,0.83557,0.84604,0.5267,1.29866,0.94032,1.42491,0.00057925,0.00057925,0.00057925
87,426.985,0.89126,0.6527,1.13537,0.84077,0.84199,0.8508,0.52768,1.32569,0.95497,1.45513,0.0005743,0.0005743,0.0005743
88,431.86,0.89192,0.65167,1.12706,0.844,0.72845,0.83084,0.52605,1.27657,1.02126,1.42934,0.00056935,0.00056935,0.00056935
89,436.786,0.87051,0.62425,1.11955,0.78136,0.75545,0.85132,0.51749,1.34167,1.03047,1.49489,0.0005644,0.0005644,0.0005644
90,441.642,0.89,0.64149,1.13104,0.766,0.79363,0.81614,0.49967,1.44236,0.97293,1.57966,0.00055945,0.00055945,0.00055945
91,446.37,0.90638,0.64984,1.15145,0.82957,0.73983,0.82123,0.5094,1.37663,1.01885,1.58682,0.0005545,0.0005545,0.0005545
92,451.119,0.87189,0.64152,1.11866,0.85037,0.72405,0.81909,0.48698,1.47048,1.08912,1.58947,0.00054955,0.00054955,0.00054955
93,455.917,0.87982,0.6425,1.12096,0.83613,0.70635,0.80715,0.50829,1.36393,1.14017,1.53485,0.0005446,0.0005446,0.0005446
94,460.688,0.90921,0.63485,1.12888,0.75815,0.76352,0.81821,0.51008,1.38259,1.08733,1.51507,0.00053965,0.00053965,0.00053965
95,465.711,0.90112,0.6424,1.14061,0.82712,0.74777,0.81921,0.52503,1.41569,1.11625,1.47947,0.0005347,0.0005347,0.0005347
96,470.71,0.88142,0.62571,1.13352,0.83267,0.79589,0.83593,0.5388,1.37888,1.05765,1.48578,0.00052975,0.00052975,0.00052975
97,475.54,0.89163,0.64423,1.12932,0.80983,0.70418,0.78811,0.50971,1.40558,1.18456,1.4963,0.0005248,0.0005248,0.0005248
98,480.429,0.85498,0.61045,1.10572,0.69507,0.70381,0.76352,0.4507,1.52777,1.32943,1.57733,0.00051985,0.00051985,0.00051985
99,485.27,0.84584,0.59061,1.10275,0.84154,0.74266,0.83168,0.53599,1.37452,1.0753,1.54232,0.0005149,0.0005149,0.0005149
100,489.971,0.85023,0.59076,1.11056,0.86408,0.73084,0.82081,0.51773,1.44601,1.08785,1.55631,0.00050995,0.00050995,0.00050995
101,494.819,0.83905,0.60374,1.10299,0.81235,0.76622,0.85165,0.54789,1.32906,1.04742,1.44429,0.000505,0.000505,0.000505
102,499.524,0.83974,0.59884,1.10583,0.79128,0.7331,0.83243,0.5641,1.23187,1.10437,1.37476,0.00050005,0.00050005,0.00050005
103,504.22,0.84999,0.6107,1.11605,0.85078,0.70877,0.84511,0.55372,1.3284,1.04217,1.42741,0.0004951,0.0004951,0.0004951
104,508.889,0.84449,0.59499,1.0982,0.7293,0.82365,0.83647,0.53457,1.38352,1.00859,1.49077,0.00049015,0.00049015,0.00049015
105,513.612,0.84783,0.6099,1.11312,0.73594,0.82341,0.83406,0.51225,1.40501,1.04377,1.55712,0.0004852,0.0004852,0.0004852
106,518.34,0.84166,0.59548,1.10519,0.74516,0.81363,0.81323,0.48196,1.47554,1.06723,1.59082,0.00048025,0.00048025,0.00048025
107,523.071,0.82813,0.60233,1.09919,0.8456,0.6577,0.78212,0.4736,1.48854,1.12555,1.62755,0.0004753,0.0004753,0.0004753
108,527.833,0.81746,0.57557,1.08766,0.81936,0.75753,0.82829,0.51909,1.38349,1.05676,1.5243,0.00047035,0.00047035,0.00047035
109,532.519,0.8046,0.58811,1.09407,0.76851,0.69867,0.77988,0.50671,1.29739,1.16257,1.44393,0.0004654,0.0004654,0.0004654
110,537.266,0.8233,0.58655,1.07858,0.7635,0.70686,0.81897,0.52925,1.30608,1.12123,1.4488,0.00046045,0.00046045,0.00046045
111,541.947,0.82536,0.5878,1.09604,0.79445,0.80664,0.85472,0.55026,1.28151,1.04045,1.44517,0.0004555,0.0004555,0.0004555
112,546.621,0.8051,0.58493,1.09109,0.86445,0.76415,0.85644,0.55343,1.27611,0.9711,1.40657,0.00045055,0.00045055,0.00045055
113,551.313,0.81644,0.58739,1.08559,0.82415,0.82028,0.86674,0.57821,1.23012,0.94124,1.37876,0.0004456,0.0004456,0.0004456
114,556.146,0.80664,0.57594,1.08231,0.86148,0.78418,0.84924,0.56932,1.31235,0.97638,1.46193,0.00044065,0.00044065,0.00044065
115,560.869,0.81485,0.56382,1.07753,0.87458,0.80397,0.85077,0.53492,1.3584,0.93288,1.52731,0.0004357,0.0004357,0.0004357
116,565.532,0.75905,0.54438,1.0646,0.86124,0.79098,0.85574,0.55289,1.30617,0.88719,1.45629,0.00043075,0.00043075,0.00043075
117,570.233,0.78085,0.55275,1.07778,0.81965,0.82937,0.84004,0.5493,1.33148,0.94947,1.49082,0.0004258,0.0004258,0.0004258
118,574.93,0.80623,0.57368,1.09506,0.82684,0.8208,0.83516,0.53709,1.36767,0.95675,1.50472,0.00042085,0.00042085,0.00042085
119,579.661,0.82365,0.58165,1.09048,0.84913,0.7423,0.85535,0.51377,1.44127,0.97602,1.5215,0.0004159,0.0004159,0.0004159
120,584.414,0.80238,0.56199,1.07297,0.78517,0.81042,0.86922,0.56826,1.29598,0.8746,1.42478,0.00041095,0.00041095,0.00041095
121,589.142,0.79301,0.55988,1.08224,0.81642,0.84421,0.86596,0.55712,1.33025,0.92604,1.42502,0.000406,0.000406,0.000406
122,593.836,0.78675,0.54817,1.07706,0.83344,0.80296,0.85411,0.54867,1.30778,0.96622,1.44074,0.00040105,0.00040105,0.00040105
